id,root_id,name,start_time,assigned_role,special_role,antag_roles,leave_type,leave_time
8960,49289,Kaylie Pennington,00:00,Chef,"",,Cryopod,00:17
8961,49289,podkid (616),00:25,"","",,Ghosted,00:28
8962,49289,Tahikaeeti,00:00,Chemist,"",,Ghosted,00:29
8963,49289,Bryan Lineman,00:00,Psychiatrist,"",,Cryopod,00:39
8964,49289,Kenzi Merriman,00:00,Security Officer,"",,Cryopod,00:42
8965,49289,Tahikaeeti,00:00,Chemist,"",,Cryopod,00:44
8966,49289,Max Woodward,00:00,Paramedic,"",,Ghosted,00:44
8967,49289,Dominick Addison,00:16,Geneticist,"",,Cryopod,00:46
8968,49289,Johnathan Wood,00:24,Medical Intern,"",,Cryopod,00:47
8969,49289,Michael Goliafof,00:00,Chemist,"",,Ghosted,00:53
8970,49289,Cassian Winton,00:00,Station Engineer,"",,Cryopod,00:58
8971,49289,Max Woodward,00:00,Paramedic,"",,Cryopod,00:59
8972,49289,Milton Lester,00:00,Botanist,"",,Ghosted,01:06
8973,49289,Ivan Huga,00:00,Medical Intern,"",,Cryopod,01:08
8974,49289,Michael Goliafof,00:00,Chemist,"",,Cryopod,01:09
8975,49289,Emil Lloyd,00:00,Forensic Technician,"",,Ghosted,01:11
8976,49289,Katyusha Morozova,00:51,Atmospheric Technician,"",,Cryopod,01:13
8977,49289,Osmund Dennis,00:00,Test Subject,"",,Ghosted,01:20
8978,49289,Troy Orgail,00:00,Head of Personnel,"",,Cryopod,01:21
8979,49289,Milton Lester,00:00,Botanist,"",,Cryopod,01:22
8980,49289,maintenance drone (318),00:47,Cyborg,"",,Ghosted,01:26
8981,49289,Emil Lloyd,00:00,Forensic Technician,"",,Cryopod,01:26
8982,49289,Eugene Angelo,00:00,Detective,"",,Cryopod,01:26
8983,49289,Andy Whiteman,01:19,Test Subject,"",,Ghosted,01:28
8984,49289,Nikolay Gorgulov,00:00,Internal Affairs Agent,"",,Cryopod,01:32
8985,49289,Aimu Ser'ra,00:00,Paramedic,"",,Ghosted,01:33
8986,49289,Yoda the Bandit Killer,00:29,MODE,Wizard,{Wizard},Ghosted,01:41
8987,49954,Victor Blame,00:00,Librarian,"",,Ghosted,00:15
8988,49954,John Pavlov,00:00,Medical Doctor,"",,Cryopod,01:00
8989,49954,Collin Pearsall,00:18,Geneticist,"",,Ghosted,01:24
8990,49954,Rafael Dean,00:10,Technical Assistant,"",,Cryopod,01:26
8991,49954,Ruben Foster,00:00,Scientist,"",,Ghosted,01:36
8992,49954,mouse (519),01:36,Animal,"",,Ghosted,01:40
8993,49954,maintenance drone (770),01:37,Cyborg,"",,Ghosted,01:41
8994,49954,Victoria Bingle,00:00,Head of Personnel,"",,Disconnected,00:18
8995,49954,Rafael Dean,00:10,Technical Assistant,"",,Disconnected,00:34
8996,49954,Rrara,00:01,AI,"",,Disconnected,00:47
8997,49954,maintenance drone (982),00:28,Cyborg,"",,Disconnected,00:57
8998,49954,Persh Levett,00:00,Shaft Miner,Traitor,{Traitor},Disconnected,01:17
8999,49954,Rafael Parker,00:00,Bartender,"",,Disconnected,01:33
9000,49954,Michael Langston,00:00,Cyborg,"",,Disconnected,01:38
9001,49954,maintenance drone (305),01:42,Cyborg,"",,Disconnected,01:47
9002,49954,Karlos Lopes,00:00,Chemist,"",,Disconnected,01:54
9003,49633,Nick Lafortune,00:00,Chemist,"",,Ghosted in Cryopod,00:16
9004,49633,Oni,00:16,Forensic Technician,"",,Cryopod,00:32
9005,49633,Andrey Perov,00:00,Security Cadet,"",,Cryopod,00:34
9006,49633,Tamsin Winton,00:41,Chemist,"",,Cryopod,01:43
9007,49633,Oliver Listvik,00:47,Test Subject,"",,Disconnected,01:15
9008,49633,Michael Langston,00:48,Shaft Miner,"",,Disconnected,01:15
9009,49633,Rowan Faust,00:47,Shaft Miner,"",,Disconnected,01:25
9010,49633,Leo Dimeling,01:20,Test Subject,"",,Disconnected,01:29
9011,49633,Billy Jean,01:37,Barber,"",,Disconnected,01:46
9012,49600,Fyodor Yamkin,00:00,Captain,"",,Disconnected,02:43
9013,49552,Loreto Bunten,00:00,Botanist,"",,Ghosted in Cryopod,00:00
9014,49552,Loreto Bunten,00:00,Botanist,"",,Cryopod,00:15
9015,49552,Stock,00:29,Clown,"",,Ghosted,00:44
9016,49552,Stock,00:29,Clown,"",,Cryopod,01:15
9017,49552,MET-981,00:07,Cyborg,"",,Ghosted,01:32
9018,49552,Edgar Wice,00:00,Recycler,"",,Cryopod,01:33
9019,49552,Genadiy Tesla,00:05,Recycler,"",,Disconnected,01:26
9020,49552,Griffin Wright,00:58,Technical Assistant,"",,Disconnected,01:28
9021,49552,Simon Homewood,01:32,Technical Assistant,"",,Disconnected,01:43
9022,49747,MET-766,00:30,Positronic Brain,"",,Ghosted,00:30
9182,49565,Loka Pirog,00:31,Test Subject,"",,Disconnected,01:32
9023,49747,Kichachiyachi,00:00,MODE,Vox Raider,{Vox Raider},Ghosted,00:40
9024,49747,Unbelievable God,00:41,Chaplain`s staff,"",,Ghosted,00:41
9025,49747,Bryan James,00:00,Detective,"",,Cryopod,01:13
9026,49747,Robert Liech,00:00,Head of Personnel,"",,Cryopod,01:15
9027,49747,Jesus Exery,00:00,Chief Medical Officer,"",,Cryopod,01:22
9028,49747,Cassian Winton,00:00,Medical Doctor,"",,Ghosted in Cryopod,01:22
9029,49747,Asher Pearsall,00:00,Cyborg,"",,Ghosted,01:28
9030,49747,Jhin Handa,00:00,Technical Assistant,"",,Disconnected,00:27
9031,49747,Yan Remi,00:24,Xenoarchaeologist,"",,Disconnected,00:34
9032,49747,Kane Tireman,00:33,Medical Intern,"",,Disconnected,00:40
9033,49747,Yahiyakakahkitikaka,00:00,MODE,Vox Raider,{Vox Raider},Disconnected,00:42
9034,49747,Hikatiyakahkayatiki,00:00,MODE,Vox Raider,{Vox Raider},Disconnected,00:48
9035,49747,Robert Liech,00:00,Head of Personnel,"",,Disconnected,00:55
9036,49747,Alec Bowchiew,00:26,Research Assistant,"",,Disconnected,01:13
9037,49549,Henry Dolton,00:00,Janitor,"",,Ghosted in Cryopod,00:03
9038,49549,Flower Field,00:00,Technical Assistant,"",,Ghosted,00:16
9039,49549,maintenance drone (945),00:13,Cyborg,"",,Ghosted,00:16
9040,49549,Collin Pearsall,00:00,Roboticist,"",,Disconnected,00:00
9041,49549,John Gardner,00:00,Recycler,"",,Disconnected,00:00
9042,49549,Vitia Kosoi,00:00,Research Assistant,"",,Disconnected,00:12
9043,49549,Zayden Fiddler,00:00,Security Officer,"",,Disconnected,00:15
9044,49549,Jaxon Kepplinger,00:00,Technical Assistant,"",,Disconnected,00:15
9045,49484,M'ark M'rshan,00:00,Roboticist,"",,Ghosted in Cryopod,00:03
9046,49484,M'ark M'rshan,00:00,Roboticist,"",,Cryopod,00:18
9047,49484,Lars Patterson,00:04,Security Officer,"",,Cryopod,00:32
9048,49484,Drill Gnoos,00:00,Xenoarchaeologist,"",,Ghosted,00:43
9049,49484,John Parker,00:00,Forensic Technician,"",,Cryopod,00:54
9050,49484,Vlad Cubovich,00:41,Test Subject,"",,Cryopod,00:59
9051,49484,Hatika,00:00,Recycler,"",,Cryopod,01:00
9052,49484,Max Russell,00:00,Scientist,"",,Ghosted,01:01
9053,49484,Pablo Zalack,00:35,Shaft Miner,"",,Ghosted,01:11
9054,49484,Bryce Rathen,01:06,Test Subject,"",,Cryopod,01:34
9055,49484,Max Basaev,01:26,Test Subject,"",,Ghosted,01:36
9056,49484,Lincoln Dennis,00:00,Cyborg,"",,Ghosted,01:38
9057,49484,STLP-165,01:38,Positronic Brain,"",,Ghosted,01:38
9058,49484,Mihail Kuravlev,00:00,Station Engineer,Head Revolutionary,{Head Revolutionary},Disconnected,00:02
9059,49484,JRD-801,00:07,Cyborg,"",,Disconnected,00:12
9060,49484,Adam Sommer,00:01,Medical Doctor,"",,Disconnected,00:38
9061,49484,Vlad Cubovich,00:41,Test Subject,"",,Disconnected,00:42
9062,49484,Collin Pearsall,00:00,Bartender,Revolutionary,{Revolutionary},Disconnected,01:00
9063,49484,Donald Ehret,00:29,Head of Security,"",,Disconnected,01:11
9064,49484,maintenance drone (945),01:19,Cyborg,"",,Disconnected,01:27
9065,49484,Ponasenkov Maximus,00:15,Barber,"",,Disconnected,01:36
9066,49484,Seymour Briggs,01:17,Roboticist,"",,Disconnected,01:39
9067,49292,Kaela Pratt,00:00,Station Engineer,"",,Ghosted,00:00
9068,49292,Kameron Dean,00:01,Security Officer,"",,Ghosted,00:10
9069,49292,Kaela Pratt,00:00,Station Engineer,"",,Cryopod,00:15
9070,49292,Drill Gnoos,00:00,Mime,"",,Ghosted,00:16
