id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
608,49627,1568,Promotions for Everyone,0,0,371,53,0,0,193,10,0,0,0,0,0,0,0,0,1,0,0,0,11,17,1,{Ivory Howard},1,0,0,5,8,"","",0,"","","",0,""
609,49628,5272,Ambassadors of Discovery,2,0,761,58,0,0,224,4,0,0,0,0,0,0,0,0,0,0,0,13,0,22,16,{Fanzilia Clark},1,0,0,76,44,Irvine White,Station Engineer,1611,Doom_Drake,Brycen Willey,Warden,3,Garviuss
610,49640,-1716,You're All Fired,12,81,4100,55,0,8,1297,23,0,0,0,0,1,0,0,0,0,0,0,19,29,79,43,{Fin MacDucke},0,0,0,55,0,Lukas Wells,Xenoarchaeologist,915,Dimobox,Rick Shorts,Roboticist,121,FatFat
611,49592,4,Ambivalently Average,1,1,0,7,0,1,62,2,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,"",0,0,0,3,0,Juan Williis,Chef,160,Moonlight7,Juan Williis,Chef,10,Moonlight7
612,49626,-1013,You're All Fired,0,0,48,7,0,6,91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,"",0,0,1,6,0,"","",0,"","","",0,""
613,49625,5934,Ambassadors of Discovery,1,23,1021,69,0,0,215,2,0,0,0,0,0,0,0,0,0,0,0,18,0,29,21,{Fin MacDucke},1,0,0,101,0,Sergey Sverlov,Head of Personnel,1500,Sergey sverlo,Ivory Howard,Detective,31,IrvingMcAll
614,49749,2874,Promotions for Everyone,2,1,0,7,0,0,122,12,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,"",1,0,0,25,0,Jose Butterfill,Head of Personnel,1250,Peperspray,"","",0,""
615,49295,5277,Ambassadors of Discovery,0,0,1773,67,0,0,276,9,0,0,0,0,0,0,0,0,0,0,0,9,4,33,17,{Persy Watersand},1,0,0,99,0,Marcus Arrow,Xenoarchaeologist,1140,KarpinTi,Hugo Hunt,Test Subject,57,Edward459
616,49751,3277,Promotions for Everyone,0,96,261,34,0,0,585,2,0,0,0,0,0,0,0,0,0,0,0,19,2,36,29,"",1,0,0,167,1,M'ark M'rshan,Roboticist,1980,Morkleb,Gikakhayikati,Chef,0,SweetMaurse
617,49988,2690,Promotions for Everyone,3,6,3252,62,0,1,668,9,0,0,0,0,0,0,0,0,0,0,0,0,8,39,21,"",0,0,0,58,0,"","",0,"","","",0,""
