id,root_id,name,assigned_role,special_role,antag_roles
66,49270,Ra'Shima Mijsha,Scientist,"",
67,49270,Baras'sa Ssizv,Recycler,"",
68,49270,Roy Walker,Security Officer,"",
69,49270,Toby Bush,Medical Doctor,Traitor,{Traitor}
70,49270,Aramsha Jarmack,Station Engineer,Traitor,{Traitor}
71,49270,Arkadiy Babushkin,Head of Security,"",
72,49270,Nathan Digson,Cyborg,"",
73,49270,Sergey Sverlov,Mime,"",
74,49270,Liam O'Shea,Chief Medical Officer,"",
75,49270,Tel Zaker,Security Officer,"",
76,49270,Max Woodward,Security Officer,"",
77,49270,Issar Hess,Xenoarchaeologist,"",
78,49270,George Kropotkin,Chemist,"",
79,49270,Patches,Clown,"",
80,49270,Kevin Armagedon,Test Subject,"",
81,49270,N.Teller,Detective,"",
82,49270,Sandro Lincoln,Shaft Miner,"",
83,49270,Kristina Albright,Medical Doctor,"",
84,49270,Tom Brooks,Security Officer,"",
85,49270,Dar'zahr,Janitor,"",
86,49270,Daniil Pravashinskiy,Medical Intern,"",
87,49270,"","","",
88,49270,Jay Miller,Internal Affairs Agent,"",
89,49272,Issar Hess,Xenoarchaeologist,"",
90,49272,Ra'Shima Mijsha,Paramedic,"",
91,49272,Jerry Clewett,Research Director,"",
92,49272,Otto Schulz,Head of Personnel,"",
93,49272,Linton Compton,Security Cadet,"",
94,49272,Roman Hawker,Test Subject,"",
95,49272,Hoshash Lushita,Chef,"",
96,49275,Lillie Teagarden,Paramedic,"",
97,49275,Kaede Klein,Chaplain,Traitor,{Traitor}
98,49275,Linton Compton,Security Officer,"",
99,49275,Marco Hynes,Bartender,"",
100,49275,Roman Hawker,Test Subject,"",
101,49275,Max Russell,Shaft Miner,"",
102,49275,Jose Butterfill,Chief Engineer,"",
103,49275,Joseph Dreyfus,Mime,"",
104,49275,Pocket,Clown,"",
105,49275,Greg Phillips,Station Engineer,"",
106,49275,Ivan Huga,Medical Intern,"",
107,49275,familiar of Machine-God XIV,Animal,"",
108,49275,Jed Conrad,Forensic Technician,"",
109,49275,mouse (464),Animal,"",
110,49275,Natalia Koneva,Chief Medical Officer,"",
111,49275,Lion Remark,Medical Intern,"",
112,49275,Jimmy Scott,Librarian,"",
113,49275,Gunter,pAI,"",
114,49275,Seymour Briggs,Quartermaster,"",
115,49275,Vladimir Nesterenko,Test Subject,"",
116,49275,Radik Kuzakin,Research Director,"",
117,49275,familiar of Machine-God II,Animal,"",
118,49275,mouse (742),Animal,"",
119,49280,Cynthia Swabey,Medical Doctor,"",
120,49280,Alan Ward,Station Engineer,"",
16548,49771,Toby Bush,Mime,"",
16549,49771,FRE-786,Cyborg,"",
16550,49771,Johnny Edwards,Station Engineer,"",
16551,49771,Roger Andreev,Station Engineer,"",
16552,49771,Ray Wardle,Atmospheric Technician,"",
16553,49771,podkid (286),"","",
16554,49771,XSI-164,Positronic Brain,"",
121,49281,MANHATTAN,Clown,"",
122,49281,Diona,Bartender,"",
123,49281,Jimmy Scott,Captain,"",
124,49281,Greyman,MODE,Wizard,{Wizard}
125,49281,Merk Asacris,Cyborg,"",
126,49281,Seassant-An Nueve,Station Engineer,"",
127,49281,Crystal Sealis,Paramedic,"",
128,49281,Cold Winds Of Winter,Scientist,"",
129,49281,Ivan Huga,Medical Intern,"",
130,49281,Jose Butterfill,Medical Doctor,"",
131,49281,Jason Snyder,Research Assistant,"",
132,49281,Vladimir Nesterenko,Test Subject,"",
133,49281,Alexey Komnin,Head of Personnel,"",
134,49281,Barry Collins,Detective,"",
135,49281,Bryce Peters,Xenoarchaeologist,"",
136,49281,Jed Conrad,Forensic Technician,"",
137,49281,Troy Orgail,Botanist,"",
138,49281,Ferdinand Bellerofont,Botanist,Traitor,{Traitor}
139,49281,Noorr Orrvashi,Station Engineer,"",
140,49281,Curly Mens,Security Officer,"",
141,49281,Anderson Skolev,Warden,"",
142,49281,Kaede Klein,Xenoarchaeologist,Traitor,{Traitor}
16555,49771,mouse (429),Animal,"",
16556,49772,Otto Schulz,Head of Personnel,"",
16557,49772,Johnny Edwards,Paramedic,"",
7595,49503,Petr Metelsky,Mime,"",
7596,49503,Alisa Don,Geneticist,"",
7597,49503,Merk Asacris,Cyborg,"",
7598,49503,Dmitriy Rovel,Head of Security,"",
7599,49503,Issar Hess,Cyborg,"",
7600,49503,Ikitatikichi,Station Engineer,"",
7601,49503,Violet Velorum,Virologist,"",
7602,49503,Hans Uberman,Scientist,"",
7603,49503,The Space-Time Controller,MODE,Wizard,{Wizard}
7604,49503,Alexander Newbern,Botanist,"",
7605,49503,Max Russell,Scientist,Traitor,{Traitor}
7606,49503,Norman Don,Xenoarchaeologist,"",
7607,49503,Ra'Shima Mijsha,Paramedic,"",
7608,49503,Pipidaster,Clown,"",
7609,49503,Spal Carpov,Warden,"",
7610,49503,Roy Walker,Station Engineer,"",
7611,49503,Rex Belov,Janitor,"",
7612,49503,Noah Eckhardstein,Roboticist,"",
10076,49579,Zed Murray,Security Officer,"",
16558,49772,Lubisha Savich,Test Subject,"",
143,49281,Soghatura Kraghars,Psychiatrist,"",
144,49281,Kenneth Harrow,Shaft Miner,"",
145,49281,Vadim Kapustin,Paramedic,"",
146,49281,Stepan Ivanovich,Technical Assistant,"",
147,49281,Ivan Huga,"","",
148,49281,Seassant-An Nueve,"","",
149,49281,XAL-557,Cyborg,"",
150,49281,Jack Armchairovich,Botanist,"",
151,49281,Aurili Septemus,Test Subject,"",
152,49281,Seassant-An Nueve,default,"",
153,49281,Linton Compton,Security Cadet,"",
154,49281,Shahedron Evulir,Technical Assistant,"",
155,49281,Colten Weisgarber,Shaft Miner,"",
156,49281,Archie Moore,Security Officer,"",
157,49281,Ward Hoenshell,Test Subject,"",
158,49281,Sivean Doulson,Roboticist,"",
159,49281,maintenance drone (738),Cyborg,"",
160,49281,Alex King,Janitor,"",
161,49281,Dorothy Woodward,Chemist,"",
162,49281,Omicron,Roboticist,"",
163,49281,maintenance drone (463),Cyborg,"",
164,49281,podkid (496),default,"",
165,49281,Kaylie Pennington,Botanist,"",
166,49281,Redrich Swarner,Technical Assistant,"",
167,49281,Ink Void,Test Subject,"",
168,49281,Myron Demetrios,Mime,"",
169,49281,mouse (779),Animal,"",
170,49281,Larry Barret,Cargo Technician,"",
171,49281,maintenance drone (552),Cyborg,"",
172,49282,Alan Ward,Scientist,"",
173,49282,ANTR-633,Cyborg,"",
174,49282,Vlad Kuznetsov,Test Subject,"",
175,49282,Nina Greenawalt,Captain,"",
176,49282,Colten Weisgarber,Shaft Miner,"",
177,49282,Violet Scherer,Technical Assistant,"",
178,49282,Noelle Thompson,Chef,"",
179,49282,Persh Levett,Station Engineer,"",
180,49282,Igor Collins,Cyborg,"",
181,49282,Juan Williis,Test Subject,"",
182,49282,Makskim Shomski,Cyborg,"",
183,49282,Joseph Dreyfus,Recycler,"",
184,49282,Gleb Sobachkin,Chaplain,"",
185,49282,Vadim Kapustin,Test Subject,"",
186,49282,Edgar Wice,Shaft Miner,"",
187,49282,Marcus Arrow,Detective,"",
188,49282,Alexa McShain,Medical Doctor,"",
189,49282,Mr.Honky,Clown,"",
190,49282,Roberto Cook,Test Subject,"",
191,49282,Kate Sidney,Security Cadet,"",
192,49282,podkid (215),"","",
193,49283,Persh Levett,Station Engineer,Traitor,{Traitor}
194,49283,Jackson Taggart,Janitor,"",
195,49283,Makskim Shomski,Quartermaster,"",
196,49283,Freddie Reed,Test Subject,"",
197,49283,Seymour Davis,Chef,"",
198,49283,Ra'Shima Mijsha,Station Engineer,"",
199,49283,Maxwell,default,"",
200,49283,"","","",
201,49283,Shahedron Evulir,Technical Assistant,"",
202,49283,Sever Brusnika,Security Cadet,"",
203,49283,Marci Blaysee,Paramedic,"",
204,49283,Marcus Fulton,Scientist,"",
205,49283,Joseph Dreyfus,Test Subject,"",
206,49283,Chuck Newbell,Research Director,"",
207,49283,Anton Sendor,Shaft Miner,"",
208,49283,Vincent Rahl,Test Subject,"",
209,49283,mouse (371),Animal,"",
7613,49503,Arleen Morris,Quartermaster,Traitor,{Traitor}
7614,49503,Bob Clifford,Technical Assistant,"",
7615,49503,Evgeniy Barabulka,Captain,"",
7616,49503,Leon Churchill,Security Officer,"",
7617,49503,Gennady Whiteman,Security Officer,"",
7618,49503,Igor Korotkov,Security Officer,"",
7619,49503,Harvester (283),Animal,Cultist,{Cultist}
7620,49503,Wraith (967),Wraith,Cultist,{Cultist}
7621,49503,Lorin Ackerley,Security Officer,"",
7622,49503,Loreto Bunten,Botanist,"",
7623,49503,STLP-279,Cyborg,"",
7624,49503,Dorothy Woodward,Psychiatrist,"",
210,49284,Chitayakiya,MODE,Vox Raider,{Vox Raider}
211,49284,Ulric Parker,Roboticist,"",
212,49284,Chichahachikakachakahkah,MODE,Vox Raider,{Vox Raider}
213,49284,Aramsha Jarmack,Station Engineer,"",
214,49284,Tayakayahita,MODE,Vox Raider,{Vox Raider}
215,49284,MANHATTAN,Clown,"",
216,49284,Jack Armchairovich,Test Subject,"",
217,49284,Ink Void,Paramedic,"",
218,49284,Fenton Walker,Cyborg,"",
219,49284,Shalfey Rozmarinov,Warden,"",
220,49284,Larry Barret,Shaft Miner,"",
221,49284,Max Russell,Scientist,Traitor,{Traitor}
222,49284,Crystal Sealis,Paramedic,"",
223,49284,Alpha,AI,Traitor,{Traitor}
10059,49579,Magomed Chechetkov,Station Engineer,Traitor,{Traitor}
10060,49579,Mario Parkinson,Research Director,"",
10061,49579,Richard Reed,Security Officer,"",
7625,49505,Lorin Ackerley,Detective,"",
7626,49505,Gennady Whiteman,Captain,"",
7627,49505,Alan Keller,Medical Doctor,"",
7628,49505,Cassian Winton,Geneticist,"",
7629,49505,Dar'zahr,Station Engineer,"",
7630,49505,Oleg Osetrov,Chaplain,"",
7631,49505,Fyodor Yamkin,Paramedic,"",
7632,49505,Wuixmiuiwu Qrwrwimwrmi,Recycler,"",
5470,49436,Omega,AI,"",
10062,49579,Zul the Weeping,MODE,Wizard,{Wizard}
10064,49579,Kakotika,Chaplain,"",
10065,49579,Issar Hess,Scientist,"",
10066,49579,Danny Roby,Security Cadet,"",
10067,49579,Shivi Soha'ru,Botanist,"",
