id,root_id,key,name,title,desc
1,50031,Lianes,Lores Morales,New Achievement,You Win
2,49651,Refug,Karen,Премия за Ролевую Игру.,Написал ролевой эмоут в раунде.
3,50130,Krendel119,Blob Overmind (955),Стелсоблоб,Набрать критическую массу (355/500) и остаться необнаруженным до поры.
