id,deaths_id,brute,fire,toxin,oxy,clone,brain
166,174,147.6,15.5,21,19,0,0
167,175,146.6,30.6,24,5,0,10.6044
168,176,150,24.5,27,5,0,10.6044
169,177,65,36,0,99,0,0
170,178,52.5,150,0,7.33333,0,0
171,179,48,136.7,7,12.3333,0,0
172,180,64.7,108,0,30.3333,0,0
173,181,480.4,30,0,0,0,0
174,182,121,0,0,80.3334,0,0
175,183,40.3,136.7,0,23.3333,0,53.5733
176,184,39.2,134.6,0,33.6667,0,53.5733
177,185,37.9,152.9,0,11,0,53.5733
178,186,204.4,0,0,4.66667,0,0
179,187,135.6,0,12,54,0,0
180,188,0,50,54,101,0,0
181,189,0,66.2,39,96.6666,0,0
182,190,102.2,0,0,98.6666,0,0
183,191,77.3,124,0,2,0,0
184,192,202,20,0,2.66667,0,20
185,193,0,0,0,0,0,20
186,194,0,126,41,39.3333,0,0
187,195,0,117.2,45,41.3333,0,0
188,196,0,107.9,91,5.33333,0,0
189,197,0,111,59,33.6667,0,0
190,198,15.9,3.5,0,0,0,0
191,199,13.2,2.8,0,0,0,0
192,202,214,3,0,1.33333,0,20
193,205,153.4,0,0,49,0,20
194,206,320,0,0,0,0,0
195,207,171.2,0,0,23,0,0
196,208,170.5,0,0,23,0,0
197,209,158.63,14.5,0,34,0,0
198,210,129.5,0,0,70.6667,0,0
199,211,310,0,0,0,0,0
200,212,124.23,85.2,0,13,0,0
201,213,80,39.3,0,78.6667,0,0
202,214,80,39.3,0,78.6667,0,0
203,217,180,0,0,0,0,20
204,218,192,0,0,12.3333,0,0
205,219,220,0,0,1.33333,0,20
206,220,140,12,0,60.6667,0,70
207,221,157.6,0,0,45.3333,0,0
208,222,221.9,0,0,4.33333,0,0
209,223,210.2,0,0,11.6667,0,20
210,224,198.8,0,0,3,0,0
211,225,152.4,47,0,3,0,0
212,226,97.5,3.5,0,65,0,58.0356
213,227,97.5,3.1,0,65,0,58.0356
214,228,178,0,0,51.8333,0,0
215,229,180,0,0,57.6667,0,0
216,230,48.8,0,0,152.333,0,0
217,231,147.1,32.7,0,24.55,0,20
218,232,200,0,0,0.666667,0,20
219,233,192,26,0,0,0,20
220,234,136.8,0,0,63.9467,0,0
221,235,0,151.4,0,37.6667,0,0
222,236,0,92.3,0,37.6667,0,0
223,237,188.8,0,0,21.3333,0,0
224,238,0,361.9,0,49,0,0
225,239,0,184,6,11.3333,0,0
226,240,199.6,0,0,21.5425,0,0
227,241,154.4,0,1,7,0,20
228,242,174.2,0,0,46,0,0
229,243,164.1,0,0,39,0,0
230,244,40,0,0,160,0,0
231,245,20,0,0,180.436,0,45.5
232,246,173.4,0,3,16.6667,0,0
233,247,172,0,3,16.6667,0,0
234,248,20,0,1,180.551,0,0
235,249,99,98,0,6.66667,0,0
236,251,0,185,0,15.9433,0,0
237,252,45,0,0,155,0,0
238,253,82.4,240,0,0,0,0
239,255,97.3,96,0,9.33333,0,0
240,256,0,80,0,0,0,0
241,257,145,160,0,0,0,0
242,258,126.5,0,0,73.6667,0,20
243,259,160,0,26,29.3333,0,0
244,260,125.13,27.5,4,45.1667,0,67.5378
245,261,152.98,52.57,9,1.16668,0,87.5378
246,262,206,0,0,1.33333,0,70
247,263,231,0,0,2,0,70
248,264,173.1,0,0,27,0,70
249,265,0.4,217,3,16.6667,0,0
250,266,57,150,6,2,200,0
251,267,88.8,117.5,0,3.33333,0,0
252,268,0,320,3,17.3333,0,0
253,269,0,93,0,200,0,0
254,270,67.1,107.3,0,27,0,20
255,271,113.9,88.9,0,2.66667,0,0
256,272,91,117,0,0,0,0
257,273,149.9,68.8,0,2.66667,0,0
258,274,105,96.4,0,2.66667,0,0
259,275,139.1,68,0,3.33333,0,0
260,276,140.7,67,0,2.66667,0,0
261,277,146.1,62,0,3.33333,0,0
262,278,128.9,71,0,2.66667,0,0
263,279,126,75,0,2.66667,0,0
264,280,135.9,70,0,3.33333,0,0
265,281,126,78,0,2.66667,0,0
266,282,126,83,0,0,0,0
267,283,126,78,0,2.66667,200,0
268,284,139.1,67,0,3.33333,0,0
269,285,126,75,0,2.66667,0,0
270,286,126,78,0,2.66667,0,0
271,287,126,78,0,2.66667,0,0
272,288,114.7,85,0,2.66667,0,0
273,289,132,73,0,2.66667,0,0
274,290,126,73,0,2.66667,0,0
275,291,120,79.3,0,3.33333,0,0
276,292,126,78,0,2.66667,0,0
277,293,203,0,0,0,0,140
278,294,193.47,6.56,0,0,0,0
279,295,70,43,0,0,200,0
280,296,154,54,0,3.33333,0,0
281,297,126,77,0,2.66667,200,0
282,298,110.5,98,0,0,0,0
283,299,126,78,0,2.66667,0,0
284,300,30,0,0,0,0,0
285,301,0,0,75,125.333,0,0
286,302,0,0,0,0,0,70
287,303,0,40.86,0,0,0,20
288,304,0,111.6,87,4,0,0
289,305,370,0,0,0,0,0
290,306,46.9,153.3,9.075,5,0,0
291,307,86,116.7,13,2,0,0
292,308,96,103.4,11.725,0.666667,0,0
293,309,45,0,0,0,0,0
294,310,0,0,0,0,0,20
295,311,32.8,147.3,0,23,0,0
296,312,26.7,126.2,7,42.0395,0,0
297,313,24.3,144,0,34.3124,0,0
298,314,58.8,124,0,21,0,0
299,315,57.7,124,0,21,0,0
300,316,0,196.7,0,7.33333,0,0
301,317,0,2.6,0,0,0,20
302,318,0,195,0,7.33333,0,0
303,319,0.2,201.8,0,4,0,0
304,320,0,168.9,0,33,0,0
305,321,0,0,75,128,0,0
306,322,0,131.7,64,4.66667,0,0
307,323,108,0,0,184.667,0,70
308,324,0,192,0,8.66667,0,0
309,325,0,0,3,0,0,0
310,326,0,0,3,0,0,0
311,327,0,156.8,0,46.5416,0,0
312,328,255,0,0,0.666667,0,70
313,329,117.5,0,0,83.1666,0,0
314,330,202.1,0,0,22.5,0,0
315,331,152,0,0,56,0,0
316,332,30,50,0,53,0,0
317,337,0,73.7,0,0,0,0
318,338,199.2,0,0,4.66667,0,0
319,341,66,0,24,110.279,0,0
320,342,48.6,0,79,76.343,0,0
321,345,315,0,0,0,0,0
322,346,178.7,0,0,22.6277,0,0
323,349,183.6,0,0,37,0,0
324,350,145.8,0,0,60,0,0
325,351,180,0,0,23.3333,0,20
326,354,180,0,0,41,0,0
327,355,181.2,0,0,24.3389,0,0
328,356,160,0,0,40.3333,0,0
329,357,168,0,0,37.3333,0,0
330,358,120.3,0,0,80.685,0,0
331,361,221.8,15,0,2,0,70
332,362,143.5,13.9,0,59.3333,0,0
333,363,148.3,65.7,0,1.33333,0,0
334,365,194,0,0,7.33333,0,20
335,368,23.7,168,0,8.66667,0,0
336,369,0,117,0,83.6666,0,0
