root_id,id,name,faction_name,minor_victory,type,victory
49785,676,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49785,677,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49786,678,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49786,679,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49786,680,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49786,681,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49786,682,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
49787,683,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49787,684,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49788,685,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49788,686,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49789,687,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49789,688,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49790,689,Traitors,Traitor,0,/datum/faction/traitor,0
49790,690,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49791,691,Mothership Nu,Abductor Team,0,/datum/faction/abductors,0
49791,692,Mothership Lambda,Abductor Team,0,/datum/faction/abductors,0
49791,693,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49791,694,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49792,695,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49792,696,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49793,697,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49793,698,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49794,699,Traitors,Traitor,0,/datum/faction/traitor,1
49794,700,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49795,701,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49795,702,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49796,703,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49798,704,Traitors,Traitor,0,/datum/faction/traitor,0
49798,705,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49799,706,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49800,707,Traitors,Traitor,0,/datum/faction/traitor,0
49800,708,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49802,709,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49802,710,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49802,711,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49803,712,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49803,713,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49804,714,Traitors,Traitor,0,/datum/faction/traitor,0
49804,715,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49805,716,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49805,717,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49805,718,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49806,719,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49806,720,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49807,721,Traitors,Traitor,0,/datum/faction/traitor,0
49807,722,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49808,723,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49808,724,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49810,725,Traitors,Traitor,0,/datum/faction/traitor,0
49810,726,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49811,727,Traitors,Traitor,0,/datum/faction/traitor,1
49811,728,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49812,729,Mothership Iota,Abductor Team,0,/datum/faction/abductors,0
49812,730,Mothership Kappa,Abductor Team,0,/datum/faction/abductors,1
49812,731,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49812,732,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49813,733,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49813,734,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49814,735,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
49814,736,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49814,737,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49816,738,Traitors,Traitor,0,/datum/faction/traitor,0
49816,739,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49817,740,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49817,741,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49818,742,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49818,743,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49819,744,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49819,745,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49820,746,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49820,747,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49821,748,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49821,749,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49821,750,Zobmies,Zobmies,0,/datum/faction/zombie,0
49822,751,Traitors,Traitor,0,/datum/faction/traitor,0
49822,752,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49824,753,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49824,754,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49828,755,Traitors,Traitor,0,/datum/faction/traitor,1
49828,756,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49832,757,Traitors,Traitor,0,/datum/faction/traitor,0
49832,758,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49834,759,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49834,760,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49835,761,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49835,762,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49836,763,Traitors,Traitor,0,/datum/faction/traitor,0
49836,764,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
