id,uplink_info_id,cost,bundlename,item_type
410,161,3,Incendiary Mine,/obj/item/mine/incendiary
411,162,7,Compressed Implant,/obj/item/weapon/implanter/storage
412,162,8,TR-8-R Revolver,/obj/item/weapon/gun/projectile/revolver/traitor
413,162,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
414,162,4,Mulligan,/obj/item/weapon/reagent_containers/syringe/mulligan
415,163,5,Energy Dagger,/obj/item/weapon/pen/edagger
416,163,1,Composition C-4,/obj/item/weapon/plastique
417,163,1,Composition C-4,/obj/item/weapon/plastique
418,163,1,Composition C-4,/obj/item/weapon/plastique
419,163,4,Agent Identification card,/obj/item/weapon/card/id/syndicate
420,163,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
421,165,1,Composition C-4,/obj/item/weapon/plastique
422,165,1,1 Telecrystal,/obj/item/stack/telecrystal
423,166,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
424,166,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
425,166,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
426,166,1,Composition C-4,/obj/item/weapon/plastique
427,166,4,EMP Flashlight,/obj/item/device/flashlight/emp
428,166,7,Radioactive Microlaser,/obj/item/device/healthanalyzer/rad_laser
429,167,7,Compressed Implant,/obj/item/weapon/implanter/storage
430,167,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
431,167,5,5 Telecrystals,/obj/item/stack/telecrystal/five
432,167,1,No-Slip Brown Shoes,/obj/item/clothing/shoes/syndigaloshes
433,167,7,Compressed Implant,/obj/item/weapon/implanter/storage
434,167,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
435,167,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
436,168,20,implant bundle,/obj/item/weapon/storage/box/syndicate
437,169,7,Compressed Implant,/obj/item/weapon/implanter/storage
438,169,8,TR-8-R Revolver,/obj/item/weapon/gun/projectile/revolver/traitor
439,169,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
440,169,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
441,169,5,EMP Grenades,/obj/item/weapon/storage/box/emps
442,169,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
443,169,10,Syndicate Medical Supply Kit,/obj/item/weapon/storage/firstaid/tactical
444,173,1,Composition C-4,/obj/item/weapon/plastique
445,174,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
446,174,1,Composition C-4,/obj/item/weapon/plastique
447,174,7,Compressed Implant,/obj/item/weapon/implanter/storage
448,174,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
449,174,1,Composition C-4,/obj/item/weapon/plastique
450,174,1,Composition C-4,/obj/item/weapon/plastique
451,174,4,Armor Set,/obj/item/weapon/storage/box/syndie_kit/light_armor
452,174,1,Composition C-4,/obj/item/weapon/plastique
453,174,1,Composition C-4,/obj/item/weapon/plastique
454,178,1,Composition C-4,/obj/item/weapon/plastique
455,179,16,V15 Bulldog shotgun,/obj/item/weapon/gun/projectile/automatic/bulldog
456,180,30,Shuttle Unlocker,""
457,180,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
458,180,12,C-20r Submachine Gun,/obj/item/weapon/gun/projectile/automatic/c20r
459,180,5,Ammo-.45 ACP Impact,/obj/item/ammo_box/magazine/m12mm/imp
460,180,5,Ammo-.45 ACP Impact,/obj/item/ammo_box/magazine/m12mm/imp
461,180,5,Ammo-.45 ACP Impact,/obj/item/ammo_box/magazine/m12mm/imp
462,180,7,Energy Sword,/obj/item/weapon/melee/energy/sword
463,180,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
464,180,7,Energy Sword,/obj/item/weapon/melee/energy/sword
465,180,4,Ammo-12g Stun Shot,/obj/item/ammo_box/magazine/m12g/stun
466,180,4,Ammo-12g Buckshot,/obj/item/ammo_box/magazine/m12g
467,180,12,Heavy Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/heavy_rig
468,180,16,V15 Bulldog shotgun,/obj/item/weapon/gun/projectile/automatic/bulldog
469,180,4,Ammo-12g Buckshot,/obj/item/ammo_box/magazine/m12g
470,180,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
471,180,12,C-20r Submachine Gun,/obj/item/weapon/gun/projectile/automatic/c20r
472,180,12,Heavy Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/heavy_rig
473,180,3,Ammo-.45 ACP,/obj/item/ammo_box/magazine/m12mm
474,180,3,Ammo-.45 ACP,/obj/item/ammo_box/magazine/m12mm
475,180,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
476,180,12,C-20r Submachine Gun,/obj/item/weapon/gun/projectile/automatic/c20r
477,180,3,Ammo-.45 ACP,/obj/item/ammo_box/magazine/m12mm
478,180,3,Ammo-.45 ACP,/obj/item/ammo_box/magazine/m12mm
479,180,5,Chameleon-Projector,/obj/item/device/chameleon
480,180,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
481,180,16,V15 Bulldog shotgun,/obj/item/weapon/gun/projectile/automatic/bulldog
482,180,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
483,180,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
484,180,4,Ammo-12g Buckshot,/obj/item/ammo_box/magazine/m12g
485,180,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
486,180,4,Ammo-12g Buckshot,/obj/item/ammo_box/magazine/m12g
487,180,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
488,180,3,EMP Implant,/obj/item/weapon/storage/box/syndie_kit/imp_emp
