id,uplink_info_id,cost,bundlename,item_type
28,11,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
29,11,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
30,14,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
31,14,5,Chameleon-Projector,/obj/item/device/chameleon
32,14,4,Mulligan,/obj/item/weapon/reagent_containers/syringe/mulligan
33,14,3,High Explosive Mine,/obj/item/mine
34,14,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
35,15,5,Energy Dagger,/obj/item/weapon/pen/edagger
36,17,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
37,17,5,Syndicate Medical Small Kit,/obj/item/weapon/storage/firstaid/small_firstaid_kit/combat
38,17,4,EMP Flashlight,/obj/item/device/flashlight/emp
39,17,8,TR-8-R Revolver,/obj/item/weapon/gun/projectile/revolver/traitor
40,17,0,telecrystal,/obj/item/weapon/storage/box/syndicate
41,18,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
42,18,1,Syndicate Briefcase Full of Cash,/obj/item/weapon/storage/secure/briefcase/syndie
43,18,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
44,19,2,Chameleon Kit,/obj/item/weapon/storage/box/syndie_kit/chameleon
45,19,2,Artificial Intelligence Detector,/obj/item/device/multitool/ai_detect
46,19,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
47,19,4,Agent Identification card,/obj/item/weapon/card/id/syndicate
48,19,3,Voice Changer,/obj/item/clothing/mask/gas/voice
49,19,1,No-Slip Brown Shoes,/obj/item/clothing/shoes/syndigaloshes
50,19,2,Syndicate Silencer,/obj/item/weapon/silencer
51,20,7,Compressed Implant,/obj/item/weapon/implanter/storage
52,20,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
53,20,5,Chameleon-Projector,/obj/item/device/chameleon
